retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,Trimestre,Ano,Ciudad
-35.21850998463902,-6.312596006144393,-29.066820276497698,-31.155529953917053,-13.213517665130567,9.49231950844854,1,2021,Cucuta
-16.954480286738352,16.876344086021504,-9.11326164874552,-9.807885304659498,-1.5598566308243729,8.294982078853046,2,2021,Cucuta
4.3677419354838705,35.77849462365592,10.647311827956988,29.721505376344084,9.493906810035842,5.834408602150536,3,2021,Cucuta
25.39605734767025,53.09498207885304,27.16129032258064,56.31290322580645,17.654838709677417,3.2437275985663088,4,2021,Cucuta
0.0,0.0,0.0,0.0,0.0,0.0,1,2019,Florencia
0.0,0.0,0.0,0.0,0.0,0.0,2,2019,Florencia
0.0,0.0,0.0,0.0,0.0,0.0,3,2019,Florencia
0.0,0.0,0.0,0.0,0.0,0.0,4,2019,Florencia
-10.250179211469534,-6.747670250896057,-9.387813620071684,0.0,-0.8222222222222223,2.7591397849462367,1,2020,Florencia
-61.031182795698925,-39.18064516129032,-52.31648745519713,-5.792831541218638,-40.742652329749106,20.435483870967744,2,2020,Florencia
-42.903225806451616,-13.278086763070077,-37.37411939191694,-5.384872080088988,-30.79162031887282,17.195031516499814,3,2020,Florencia
-22.005017921146955,19.561290322580643,-16.68494623655914,-2.272401433691756,-11.702508960573477,8.161648745519713,4,2020,Florencia
-19.31490015360983,27.501920122887867,-20.508064516129036,-1.021505376344086,-10.155529953917052,5.189324116743472,1,2021,Florencia
-13.976702508960576,42.86702508960573,-12.82831541218638,-0.45161290322580644,-1.8046594982078854,6.797132616487455,2,2021,Florencia
5.163082437275985,61.25770609318997,8.31505376344086,0.0,14.868100358422941,2.8376344086021508,3,2021,Florencia
18.60430107526882,81.58888888888889,23.619713261648744,0.0,23.20358422939068,-1.2734767025089606,4,2021,Florencia
0.0,0.0,0.0,0.0,0.0,0.0,1,2019,Ibague
0.0,0.0,0.0,0.0,0.0,0.0,2,2019,Ibague
0.0,0.0,0.0,0.0,0.0,0.0,3,2019,Ibague
0.0,0.0,0.0,0.0,0.0,0.0,4,2019,Ibague
