DP,DPNOM,DPMP,MPIO,AÑO,ÁREA GEOGRÁFICA,Total
05,Antioquia,05004,Abriaquí,2031,Cabecera Municipal,1118
05,Antioquia,05004,Abriaquí,2031,Centros Poblados y Rural Disperso,1942
05,Antioquia,05004,Abriaquí,2031,Total,3060
05,Antioquia,05004,Abriaquí,2032,Cabecera Municipal,1134
05,Antioquia,05004,Abriaquí,2032,Centros Poblados y Rural Disperso,1968
05,Antioquia,05004,Abriaquí,2032,Total,3102
05,Antioquia,05004,Abriaquí,2033,Cabecera Municipal,1139
05,Antioquia,05004,Abriaquí,2033,Centros Poblados y Rural Disperso,1989
05,Antioquia,05004,Abriaquí,2033,Total,3128
05,Antioquia,05004,Abriaquí,2034,Cabecera Municipal,1146
05,Antioquia,05004,Abriaquí,2034,Centros Poblados y Rural Disperso,2018
05,Antioquia,05004,Abriaquí,2034,Total,3164
05,Antioquia,05004,Abriaquí,2035,Cabecera Municipal,1155
05,Antioquia,05004,Abriaquí,2035,Centros Poblados y Rural Disperso,2036
05,Antioquia,05004,Abriaquí,2035,Total,3191
05,Antioquia,05021,Alejandría,2018,Cabecera Municipal,2485
05,Antioquia,05021,Alejandría,2018,Centros Poblados y Rural Disperso,2172
05,Antioquia,05021,Alejandría,2018,Total,4657
05,Antioquia,05021,Alejandría,2019,Cabecera Municipal,2564
05,Antioquia,05021,Alejandría,2019,Centros Poblados y Rural Disperso,2105
05,Antioquia,05021,Alejandría,2019,Total,4669
05,Antioquia,05021,Alejandría,2020,Cabecera Municipal,2637
05,Antioquia,05021,Alejandría,2020,Centros Poblados y Rural Disperso,2061
05,Antioquia,05021,Alejandría,2020,Total,4698
05,Antioquia,05021,Alejandría,2021,Cabecera Municipal,2734
05,Antioquia,05021,Alejandría,2021,Centros Poblados y Rural Disperso,2037
05,Antioquia,05021,Alejandría,2021,Total,4771
05,Antioquia,05021,Alejandría,2022,Cabecera Municipal,2814
05,Antioquia,05021,Alejandría,2022,Centros Poblados y Rural Disperso,2031
05,Antioquia,05021,Alejandría,2022,Total,4845
05,Antioquia,05021,Alejandría,2023,Cabecera Municipal,2889
05,Antioquia,05021,Alejandría,2023,Centros Poblados y Rural Disperso,2031
05,Antioquia,05021,Alejandría,2023,Total,4920
05,Antioquia,05021,Alejandría,2024,Cabecera Municipal,2933
05,Antioquia,05021,Alejandría,2024,Centros Poblados y Rural Disperso,2026
05,Antioquia,05021,Alejandría,2024,Total,4959
05,Antioquia,05021,Alejandría,2025,Cabecera Municipal,2991
05,Antioquia,05021,Alejandría,2025,Centros Poblados y Rural Disperso,2041
05,Antioquia,05021,Alejandría,2025,Total,5032
05,Antioquia,05021,Alejandría,2026,Cabecera Municipal,3025
05,Antioquia,05021,Alejandría,2026,Centros Poblados y Rural Disperso,2048
05,Antioquia,05021,Alejandría,2026,Total,5073
05,Antioquia,05021,Alejandría,2027,Cabecera Municipal,3082
