Precipitacion,Trimestre,Ano,Ciudad
16.178332772601795,2,2019,Florencia
10.022596577540103,3,2019,Florencia
7.425061158594493,4,2019,Florencia
8.680128571428574,1,2020,Florencia
13.169053845087028,2,2020,Florencia
11.292621710526314,3,2020,Florencia
7.767781270305394,4,2020,Florencia
9.737103709508883,1,2021,Florencia
14.818609090909092,2,2021,Florencia
17.437792592592594,3,2021,Florencia
7.539624920634919,4,2021,Florencia
8.209917927913871,1,2019,Ibague
7.436163105413108,2,2019,Ibague
4.082515873015873,3,2019,Ibague
7.629844979296068,4,2019,Ibague
7.433044444444442,1,2020,Ibague
6.324022438342233,2,2020,Ibague
7.6343531746031745,3,2020,Ibague
9.455775213434658,4,2020,Ibague
8.854360128205126,1,2021,Ibague
8.260826666666668,2,2021,Ibague
6.544983896940418,3,2021,Ibague
11.082448963317383,4,2021,Ibague
11.135003770739065,1,2019,Manizales
8.948170528492367,2,2019,Manizales
5.051304940711463,3,2019,Manizales
9.270075396825398,4,2019,Manizales
12.218574277574275,1,2020,Manizales
6.58534541062802,2,2020,Manizales
7.769798941798941,3,2020,Manizales
8.995834967320262,4,2020,Manizales
11.414802424242424,1,2021,Manizales
8.83915090909091,2,2021,Manizales
8.293574534161491,3,2021,Manizales
11.447484848484848,4,2021,Manizales
7.196209700176368,1,2019,Medellin
7.895153882994403,2,2019,Medellin
3.777443495863404,3,2019,Medellin
6.030337606837606,4,2019,Medellin
7.957837037037038,1,2020,Medellin
5.173338717948719,2,2020,Medellin
7.672981990231991,3,2020,Medellin
8.176093650793648,4,2020,Medellin
6.2764470899470926,1,2021,Medellin
6.9181245421245405,2,2021,Medellin
5.659601932367147,3,2021,Medellin
7.864118083670714,4,2021,Medellin
1.3636488095238095,1,2019,Monteria
6.7411459673659655,2,2019,Monteria
7.7083351724137925,3,2019,Monteria
4.221063557744937,4,2019,Monteria
3.4695000000000005,1,2020,Monteria
5.594972670807454,2,2020,Monteria
6.305861941251599,3,2020,Monteria
4.607259829059829,4,2020,Monteria
5.154836591478697,1,2021,Monteria
8.004939255189255,2,2021,Monteria
7.116618584141109,3,2021,Monteria
4.335049206349207,4,2021,Monteria
6.375145021645023,1,2019,Neiva
6.458814520624304,2,2019,Neiva
3.0659642857142857,3,2019,Neiva
6.902689012345679,4,2019,Neiva
9.931214705882349,1,2020,Neiva
5.72609440267335,2,2020,Neiva
5.397360648148148,3,2020,Neiva
8.867186631016041,4,2020,Neiva
9.718639097744363,1,2021,Neiva
7.2412846356542016,2,2021,Neiva
4.89570652173913,3,2021,Neiva
10.556037037037038,4,2021,Neiva
7.475675120772947,1,2019,Pasto
7.479404416839197,2,2019,Pasto
6.552699891067537,3,2019,Pasto
9.07544191919192,4,2019,Pasto
6.191370016339871,1,2020,Pasto
9.676762383900927,2,2020,Pasto
8.068383116883119,3,2020,Pasto
7.526409832451497,4,2020,Pasto
10.19144537815126,1,2021,Pasto
7.833976717155207,2,2021,Pasto
7.917011396011397,3,2021,Pasto
8.61815933166249,4,2021,Pasto
9.268947368421054,1,2019,Pereira
8.182293174603176,2,2019,Pereira
4.29309649122807,3,2019,Pereira
9.206749860824576,4,2019,Pereira
8.140250841750841,1,2020,Pereira
7.545123349753692,2,2020,Pereira
5.975668115942029,3,2020,Pereira
8.28706535010883,4,2020,Pereira
7.874673992673991,1,2021,Pereira
8.112484615384616,2,2021,Pereira
