Trimestre,Ano,Ciudad,Incidencia
2,2021,Tunja,0.0656816268663329
3,2021,Tunja,0.019887244694519517
4,2021,Tunja,0.005045190731469585
1,2019,Valledupar,0.0
2,2019,Valledupar,0.0
3,2019,Valledupar,0.0
4,2019,Valledupar,0.0
1,2020,Valledupar,2.063960251878204e-05
2,2020,Valledupar,0.0011933442910859434
3,2020,Valledupar,0.02655003414916053
4,2020,Valledupar,0.015410277771523352
1,2021,Valledupar,0.01227455001892916
2,2021,Valledupar,0.050153087290998176
3,2021,Valledupar,0.0075643132022626776
4,2021,Valledupar,0.00591398442295464
1,2019,Villavicencio,0.0
2,2019,Villavicencio,0.0
3,2019,Villavicencio,0.0
4,2019,Villavicencio,0.0
1,2020,Villavicencio,2.0172308188856816e-05
2,2020,Villavicencio,0.002107089282636044
3,2020,Villavicencio,0.021846609768531932
4,2020,Villavicencio,0.02412057905527579
1,2021,Villavicencio,0.012759991416964588
2,2021,Villavicencio,0.03904008204799953
3,2021,Villavicencio,0.014032899211160856
4,2021,Villavicencio,0.0024694411207407596
