Vulnerabilidad_numero,U_MPIO,U_DPTO,Nom_DPTO,CASA,APTO,TIP_CUARTO,VIV_TRAD_INDIG,VIV_TRAD_ETNICA,OTRA_VIV,1-DOR,2-DOR,3-DOR,4-DOR,Mas de 4 dor,No informa Num_dormit,0-FALL,1-FALL,2-FALL,Mas de 2 fall,1-PER,2-PER,3-PER,4-PER,Mas de 4 per,Fall_Hombre,Fall_Mujer,No informa sexo fall,No informa edad fall,Fall_P_Infancia,Fall_Infancia,Fall_Juv-Adoles,Fall_Adultez,Fall_Per_Mayor,Per_Hombre,Per_Mujer,Per_edad_0 a 4,Per_edad_5 a 9,Per_edad_10 a 14,Per_edad_15 a 19,Per_edad_20 a 24,Per_edad_25 a 29,Per_edad_30 a 34,Per_edad_35 a 39,Per_edad_40 a 44,Per_edad_45 a 49,Per_edad_50 a 54,Per_edad_55 a 59,Per_edad_Mas de 60,Indigena,Gitano o Rrom,Raizal del Archi SAPSC,Palenquero de San Basilio,"Negro, mulato, afrodescendiente, afrocolombiano",Ningun grupo etnico,No informa grupo etnico,Habla lengua Nativa,No habla lengua nativa,No informa lengua nativa,No aplica lengua nativa,Habla otra lengua,No habla otra lengua,No informa otra lengua,No aplica otra lengua,CSS muy bueno,CSS bueno,CSS malo,CSS muy malo,CSS No Aplica,Lee_y_Escribe,NoLee_y_Escribe,No_informa_Alfabeta,No Aplica P_ALFABETA,Preescolar,Primaria,Secundaria,Media_Academica,Media_tecnica,Normalista,Tecnica_Profesional,Universitario,Posgrado,Ninguno,No_inf_escolaridad,No Aplica P_NIVEL_ANOSR,No informa ingresos,Recibe ingresos,No recibe ingresos,No Aplica ingresos
1.0,206,41,Huila,2976,48,26,0,0,11,764,1004,350,88,29,3,2187,51,0,0,442,494,447,435,420,24.0,27.0,0.0,0.0,4.0,0.0,2.0,6.0,39.0,3815,3225,561,616,638,638,538,503,433,425,462,419,413,344,1050,1,0,2,0,5,7015,17,2,0,1,7037,1,1,1,7037,25,233,58,2,6722,5697,761,21,561,173,3538,1046,781,39,10,113,163,53,534,29,561,59,1508,4222,1251
1.0,244,41,Huila,1474,20,10,0,0,3,346,557,272,50,14,2,1229,12,0,0,226,286,300,222,207,6.0,6.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,1941,1795,246,313,361,371,301,248,234,231,210,233,220,190,578,2,0,0,0,10,3682,42,0,2,0,3734,1,1,0,3734,10,112,7,0,3607,3217,236,37,246,51,1654,643,652,17,3,83,110,31,202,44,246,82,1256,1836,562
1.0,298,41,Huila,19868,4519,830,4,4,71,6462,8214,5062,987,177,102,20713,277,13,1,3914,4375,4698,4168,3849,179.0,127.0,0.0,0.0,18.0,1.0,23.0,67.0,197.0,33329,32982,5464,5506,6411,6674,5764,5062,4669,4510,3755,3681,3577,3248,7990,44,4,0,1,259,65005,998,28,19,0,66264,2,43,2,66264,573,3846,896,158,60838,55702,4142,1003,5464,1626,24387,11712,11546,673,117,2786,3585,813,2504,1098,5464,851,25637,27881,11942
1.0,306,41,Huila,8549,500,360,3,3,53,2398,2979,1497,273,63,26,7109,120,7,0,1299,1529,1641,1456,1311,73.0,61.0,0.0,0.0,5.0,0.0,7.0,22.0,100.0,11387,11484,1664,1843,2305,2285,1858,1638,1431,1526,1288,1255,1329,1202,3247,23,0,1,0,82,22616,149,5,19,0,22847,4,20,0,22847,92,956,291,60,21472,19292,1690,225,1664,586,8687,4409,4022,267,75,682,770,261,1216,232,1664,318,8353,10475,3725
1.0,319,41,Huila,5818,204,108,6,2,10,1301,1963,1207,228,40,18,4665,87,3,2,718,895,1099,992,1053,66.0,35.0,0.0,0.0,7.0,1.0,5.0,27.0,61.0,8113,7800,1330,1480,1682,1667,1313,1122,1042,1039,897,892,836,750,1863,21,0,0,0,26,15816,50,3,17,1,15892,2,18,1,15892,84,797,125,18,14889,13280,1221,82,1330,328,7011,2832,2542,96,28,284,332,91,915,124,1330,279,5610,7176,2848
1.0,349,41,Huila,2667,46,216,4,0,31,1015,862,348,44,15,6,2230,58,2,0,469,544,494,454,329,38.0,24.0,0.0,0.0,5.0,0.0,2.0,9.0,46.0,3408,3292,565,578,618,621,582,524,458,409,394,382,369,326,874,17,0,5,0,23,6601,54,17,5,0,6678,8,14,0,6678,29,363,84,25,6199,5492,571,72,565,144,2844,1166,1045,61,10,203,168,48,365,81,565,81,2568,2894,1157
1.0,357,41,Huila,3836,51,31,0,1,3,1041,1158,401,73,9,14,2666,29,1,0,459,524,560,524,629,17.0,14.0,0.0,0.0,3.0,0.0,2.0,9.0,17.0,4638,4426,845,862,949,941,767,645,510,550,551,465,447,417,1115,1676,0,0,0,18,7248,122,1438,238,0,7388,10,1663,3,7388,27,331,15,1,8690,7497,671,51,845,244,3952,1630,1368,64,16,140,202,55,471,77,845,146,3132,4059,1727
1.0,359,41,Huila,7125,548,1186,2,1,17,3105,2782,1548,385,98,28,7727,208,8,3,1259,1758,2030,1603,1296,144.0,89.0,0.0,0.0,16.0,4.0,25.0,56.0,132.0,12470,12123,1938,2023,2318,2575,2214,2030,1860,1726,1476,1390,1279,1037,2727,459,0,0,0,19,24017,98,17,442,0,24134,3,456,0,24134,76,1609,829,102,21977,20539,2037,79,1938,526,11569,3951,4117,122,36,489,560,96,1061,128,1938,251,9094,11265,3983
1.0,378,41,Huila,5035,132,99,17,1,2,1444,1603,713,122,31,6,3863,55,0,1,687,835,896,720,781,32.0,26.0,0.0,0.0,2.0,1.0,6.0,18.0,31.0,6340,6135,1083,1203,1297,1347,1051,947,868,888,739,694,568,495,1295,840,0,0,0,43,11534,58,706,133,1,11635,16,823,1,11635,29,418,120,32,11876,10517,804,71,1083,311,5585,2180,1940,96,27,234,280,99,550,90,1083,136,4137,5916,2286
1.0,396,41,Huila,15599,1570,471,527,2,60,6342,6252,3788,909,189,71,17161,374,13,3,3422,3714,4013,3266,3136,237.0,174.0,0.0,0.0,41.0,7.0,28.0,74.0,261.0,27584,26821,5041,5071,5648,5630,4752,4267,3869,3615,3027,2734,2625,2281,5845,2836,1,3,5,536,50614,410,1046,1758,6,51595,367,2436,7,51595,146,2623,1025,202,50409,44890,3939,535,5041,1419,21544,9041,8860,884,84,1793,2103,605,2475,556,5041,617,19143,24105,10540
