CodDepartament,Year,Trimester,Unemployment_percentage,Temperature,Precipitation,GDP,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,Vaccination_percentage,Vulnerability_value,Incidence
20,2020,2,23.7,24.425023809523807,5.530094214029698,5865.0,-69.48494623655914,-49.12831541218638,-62.46917562724014,-81.60788530465948,-46.97992831541219,22.860215053763447,0.0,1.0,0.0011933442910859436
20,2020,3,23.9,22.36936257309941,4.8719,5865.0,-53.40465949820789,-31.48924731182796,-47.25161290322581,-49.396774193548396,-28.408243727598567,16.524372759856632,0.0,1.0,0.02655003414916053
20,2020,4,19.2,24.34462431372549,6.270294418842808,5865.0,-33.42508960573477,4.562724014336918,-36.517204301075274,-47.47706093189964,-12.912186379928315,9.92867383512545,0.0,1.0,0.015410277771523354
20,2021,1,20.4,30.231502952227586,1.617028787878788,6101.0,-25.70353302611367,2.3840245775729647,-30.059907834101377,-41.371351766513044,-12.711597542242705,6.198924731182796,0.61,1.0,0.012274550018929159
20,2021,2,19.1,24.526392156862745,5.766040123456791,6101.0,-31.318637992831544,0.17275985663082358,-34.23046594982079,-38.02078853046596,-17.372043010752687,10.25125448028674,12.01,1.0,0.050153087290998176
20,2021,3,18.0,23.87680980392157,3.8188466947401873,6101.0,0.7616487455197133,32.544444444444444,-7.4824372759856645,-12.131541218637993,1.3698924731182796,3.5964157706093194,26.07,1.0,0.007564313202262677
20,2021,4,15.8,24.85753333333333,5.327744254691122,6101.0,22.093906810035843,53.994623655913976,10.870250896057348,17.24372759856631,10.2168458781362,0.6050179211469534,42.86,1.0,0.00591398442295464
23,2020,1,12.4,34.389250915750914,3.4695000000000005,3845.0,-12.036559139784947,-6.962724014336917,-6.058781362007169,0.035842293906810006,-2.5591397849462356,2.8824372759856627,0.0,1.0,1.978889209908694e-06
23,2020,2,24.8,31.770422222222226,5.594972670807454,3845.0,-70.38028673835127,-45.99032258064516,-45.330107526881726,-45.615053763440855,-47.209318996415774,23.347311827956986,0.0,1.0,0.000795513462383295
23,2020,3,22.1,27.77464021164021,6.305861941251599,3845.0,-61.035842293906796,-36.802150537634404,-40.59247311827957,-45.46236559139785,-39.63046594982078,20.523297491039425,0.0,1.0,0.027797456731587424
23,2020,4,17.4,28.21686111111111,4.607259829059829,3845.0,-28.405376344086022,15.543369175627241,-14.783154121863802,-27.438709677419357,-14.529032258064516,9.55125448028674,0.0,1.0,0.006779674433147186
23,2021,1,17.1,33.08968376068376,5.154836591478697,4219.0,-30.572580645161292,16.431643625192013,-16.054915514592935,-28.183179723502306,-15.18125960061444,7.134408602150539,0.76,1.0,0.016741960679647852
23,2021,2,15.6,27.146577777777768,8.004939255189255,4219.0,-24.28817204301076,20.974193548387092,-14.956630824372759,-22.78243727598566,-12.443010752688172,9.389247311827956,12.24,1.0,0.040024884311501335
23,2021,3,17.1,26.948894444444445,7.116618584141109,4219.0,3.795340501792115,43.44695340501792,4.734408602150538,-5.697491039426524,1.6630824372759854,5.082078853046595,28.46,1.0,0.013533297485271548
23,2021,4,15.5,27.123242857142852,4.335049206349207,4219.0,30.873118279569894,71.21182795698923,18.483512544802867,-6.406810035842294,13.193906810035847,1.4559139784946236,43.55,1.0,0.001464013910094631
27,2020,1,22.5,19.108803442028986,7.459441102756891,784.0,-12.936200716845882,-5.076702508960573,-22.068100358422942,-13.657347670250894,1.5885304659498207,1.8673835125448033,0.0,1.0,0.0
27,2020,2,18.0,20.52998611111111,20.158935236682733,784.0,-63.23655913978496,-44.98172043010753,-50.349820788530465,-70.56057347670252,-47.62903225806453,13.7921146953405,0.0,1.0,0.009730556086374928
27,2020,3,21.2,20.52339797979798,20.473434408602152,784.0,-41.34768447402856,-34.65281333560903,-23.668216988109464,-52.49677134892189,-34.19171360300393,13.216931216931215,0.0,1.0,0.01052551117905599
27,2020,4,20.0,18.812695833333336,19.846019123031073,784.0,-26.17347670250896,-14.95448028673835,11.257347670250898,-30.785663082437267,-16.059139784946233,8.351971326164874,0.0,1.0,0.004739155360214025
