Temperatura,Trimestre,Ano,Ciudad
22.486639957264966,2,2019,Medellin
23.582325925925932,3,2019,Medellin
23.072307692307692,4,2019,Medellin
24.14965079365079,1,2020,Medellin
22.286967973856207,2,2020,Medellin
22.73909365079365,3,2020,Medellin
23.15736988936989,4,2020,Medellin
22.285122807017547,1,2021,Medellin
21.641044949494948,2,2021,Medellin
22.108254131054128,3,2021,Medellin
21.652813390313387,4,2021,Medellin
34.51623611111111,1,2019,Monteria
32.290422222222226,2,2019,Monteria
27.87895454545455,3,2019,Monteria
28.08021666666666,4,2019,Monteria
34.389250915750914,1,2020,Monteria
31.770422222222226,2,2020,Monteria
27.77464021164021,3,2020,Monteria
28.21686111111111,4,2020,Monteria
33.08968376068376,1,2021,Monteria
27.146577777777768,2,2021,Monteria
26.948894444444445,3,2021,Monteria
27.123242857142852,4,2021,Monteria
24.607796296296296,1,2019,Neiva
23.419717782217784,2,2019,Neiva
27.90548384581105,3,2019,Neiva
24.8373201058201,4,2019,Neiva
24.6883489729225,1,2020,Neiva
24.689517482517484,2,2020,Neiva
25.397994912494912,3,2020,Neiva
24.89524725992962,4,2020,Neiva
23.54801309523809,1,2021,Neiva
23.451864705882354,2,2021,Neiva
25.37627692307693,3,2021,Neiva
22.70032327802917,4,2021,Neiva
17.530152777777776,1,2019,Pasto
14.645387284610813,2,2019,Pasto
16.68527746031746,3,2019,Pasto
15.888510185185185,4,2019,Pasto
17.402283200459667,1,2020,Pasto
14.194747511312215,2,2020,Pasto
15.836097474747474,3,2020,Pasto
16.37339947089947,4,2020,Pasto
14.654325,1,2021,Pasto
14.77767450980392,2,2021,Pasto
16.189182341269838,3,2021,Pasto
16.32229535603715,4,2021,Pasto
24.50759605862547,1,2019,Pereira
22.10117264957265,2,2019,Pereira
25.49137116781853,3,2019,Pereira
23.013963235294124,4,2019,Pereira
24.318520707070714,1,2020,Pereira
22.033272222222227,2,2020,Pereira
23.80360555555556,3,2020,Pereira
22.87254603174603,4,2020,Pereira
22.59359722222222,1,2021,Pereira
22.56175,2,2021,Pereira
23.62199552803578,3,2021,Pereira
21.74462916666667,4,2021,Pereira
23.7313787878788,1,2019,Popayan
23.3673625,2,2019,Popayan
25.5330115942029,3,2019,Popayan
23.40128898225957,4,2019,Popayan
23.779413900913898,1,2020,Popayan
23.447459259259247,2,2020,Popayan
23.899573412698413,3,2020,Popayan
23.723188636363634,4,2020,Popayan
21.973150584795324,1,2021,Popayan
22.80052685185185,2,2021,Popayan
23.643377558479532,3,2021,Popayan
22.306064407814407,4,2021,Popayan
18.158434523809518,1,2019,Quibdo
19.388668091168093,2,2019,Quibdo
19.524671957671963,3,2019,Quibdo
17.77307103174603,4,2019,Quibdo
19.108803442028986,1,2020,Quibdo
20.52998611111111,2,2020,Quibdo
20.52339797979798,3,2020,Quibdo
18.812695833333336,4,2020,Quibdo
19.58172061965812,1,2021,Quibdo
19.56481613756614,2,2021,Quibdo
20.526362074744426,3,2021,Quibdo
18.33450641025641,4,2021,Quibdo
29.412559821627642,1,2019,Riohacha
27.94460994152047,2,2019,Riohacha
29.25387163561076,3,2019,Riohacha
25.806619455423803,4,2019,Riohacha
30.128271825396823,1,2020,Riohacha
29.332812037037037,2,2020,Riohacha
27.02881481481482,3,2020,Riohacha
25.76892146825397,4,2020,Riohacha
28.06572409090909,1,2021,Riohacha
27.593694664404225,2,2021,Riohacha
27.74941269841269,3,2021,Riohacha
26.675428815004267,4,2021,Riohacha
26.90577674258109,1,2019,Sanandres
27.39112046783626,2,2019,Sanandres
26.14851068376069,3,2019,Sanandres
24.538994505494504,4,2019,Sanandres
27.794083771929824,1,2020,Sanandres
28.38817222222222,2,2020,Sanandres
